Direction,PacketSize
incoming,50
outgoing,45
outgoing,53
incoming,50
outgoing,45
outgoing,53
incoming,50
outgoing,45
outgoing,53
outgoing,52
outgoing,53
incoming,50
outgoing,45
outgoing,53
incoming,50
outgoing,45
outgoing,52
incoming,50
outgoing,45
incoming,57
outgoing,45
incoming,50
outgoing,45
incoming,50
outgoing,45
incoming,50
outgoing,45
outgoing,53
outgoing,52
outgoing,53
incoming,50
outgoing,45
outgoing,45
outgoing,53
outgoing,57
outgoing,52
incoming,54
incoming,50
outgoing,45
outgoing,57
outgoing,45
incoming,54
incoming,54
incoming,54
incoming,50
incoming,50
incoming,50
outgoing,45
outgoing,57
outgoing,45
outgoing,57
outgoing,57
outgoing,45
outgoing,45
outgoing,45
incoming,54
incoming,54
incoming,54
incoming,54
incoming,50
incoming,50
incoming,50
incoming,50
outgoing,45
outgoing,45
outgoing,57
outgoing,57
outgoing,45
outgoing,45
outgoing,57
outgoing,57
outgoing,45
outgoing,45
outgoing,45
outgoing,45
incoming,60
outgoing,57
outgoing,45
incoming,60
outgoing,57
outgoing,45
incoming,54
incoming,54
incoming,50
incoming,50
outgoing,45
outgoing,57
outgoing,45
outgoing,57
outgoing,57
outgoing,57
outgoing,45
outgoing,57
incoming,49
incoming,45
outgoing,53
outgoing,57
outgoing,53
incoming,54
incoming,50
outgoing,45
outgoing,57
outgoing,45
outgoing,53
outgoing,57
outgoing,53
incoming,54
incoming,50
outgoing,45
outgoing,57
outgoing,45
outgoing,53
outgoing,57
outgoing,53
incoming,54
incoming,50
outgoing,45
outgoing,57
outgoing,45
outgoing,53
outgoing,57
outgoing,53
incoming,54
outgoing,53
outgoing,57
outgoing,52
outgoing,57
outgoing,53
outgoing,52
outgoing,53
outgoing,57
outgoing,53
incoming,50
outgoing,45
outgoing,57
outgoing,45
incoming,54
incoming,54
incoming,54
outgoing,53
outgoing,57
outgoing,53
incoming,54
incoming,54
incoming,50
incoming,50
incoming,50
incoming,50
incoming,50
outgoing,45
outgoing,57
outgoing,45
outgoing,45
outgoing,45
outgoing,57
outgoing,57
outgoing,57
outgoing,45
outgoing,57
outgoing,45
outgoing,45
outgoing,45
outgoing,45
incoming,54
incoming,54
outgoing,52
outgoing,57
outgoing,52
outgoing,53
outgoing,57
outgoing,53
incoming,54
incoming,50
incoming,50
incoming,50
outgoing,45
outgoing,57
outgoing,45
outgoing,45
outgoing,57
outgoing,57
outgoing,45
outgoing,45
outgoing,45
incoming,54
incoming,54
incoming,54
incoming,50
incoming,50
incoming,50
outgoing,45
outgoing,57
outgoing,45
outgoing,57
outgoing,45
outgoing,57
incoming,61
outgoing,45
outgoing,45
outgoing,45
incoming,54
incoming,57
incoming,50
outgoing,45
outgoing,45
outgoing,57
outgoing,57
outgoing,45
outgoing,45
incoming,54
incoming,50
outgoing,45
outgoing,57
outgoing,45
incoming,54
incoming,50
outgoing,45
outgoing,57
outgoing,45
incoming,54
incoming,50
outgoing,53
outgoing,45
outgoing,57
outgoing,57
outgoing,53
outgoing,45
outgoing,53
outgoing,57
outgoing,52
outgoing,57
outgoing,53
outgoing,52
outgoing,53
outgoing,57
incoming,54
outgoing,53
incoming,50
outgoing,45
outgoing,57
outgoing,45
incoming,54
incoming,54
incoming,54
outgoing,53
outgoing,57
outgoing,53
incoming,54
incoming,54
incoming,54
incoming,54
incoming,54
incoming,54
incoming,54
incoming,54
incoming,54
incoming,54
incoming,54
incoming,54
incoming,54
incoming,54
incoming,54
incoming,54
incoming,54
incoming,54
incoming,54
incoming,54
incoming,54
incoming,54
incoming,54
incoming,54
incoming,54
incoming,54
incoming,54
incoming,54
incoming,54
incoming,54
incoming,54
incoming,54
incoming,54
incoming,54
incoming,54
incoming,54
incoming,54
incoming,54
incoming,54
incoming,54
incoming,54
incoming,54
incoming,54
incoming,54
incoming,54
incoming,54
incoming,54
incoming,54
incoming,54
incoming,54
incoming,54
outgoing,52
outgoing,49
outgoing,52
incoming,54
incoming,54
outgoing,45
outgoing,49
incoming,54
outgoing,45
incoming,54
incoming,54
incoming,54
incoming,54
incoming,54
incoming,54
incoming,54
incoming,54
outgoing,45
outgoing,45
outgoing,45
outgoing,45
outgoing,45
outgoing,45
outgoing,45
outgoing,49
outgoing,45
outgoing,45
outgoing,45
outgoing,45
outgoing,45
outgoing,45
outgoing,45
outgoing,45
outgoing,45
incoming,54
outgoing,49
outgoing,45
incoming,54
incoming,54
incoming,54
incoming,54
incoming,54
incoming,54
incoming,54
outgoing,45
outgoing,45
outgoing,45
outgoing,45
outgoing,49
outgoing,45
outgoing,45
outgoing,45
outgoing,45
outgoing,53
outgoing,52
outgoing,52
outgoing,52
outgoing,52
outgoing,49
outgoing,53
outgoing,53
outgoing,52
incoming,54
incoming,54
incoming,54
incoming,54
outgoing,49
outgoing,52
outgoing,53
incoming,54
incoming,54
outgoing,45
outgoing,49
incoming,54
incoming,54
incoming,54
incoming,54
outgoing,53
outgoing,49
outgoing,53
incoming,54
incoming,54
incoming,54
incoming,54
incoming,54
incoming,54
incoming,54
outgoing,45
outgoing,45
outgoing,45
outgoing,45
outgoing,49
outgoing,45
outgoing,45
outgoing,45
outgoing,45
incoming,54
incoming,54
outgoing,52
outgoing,49
outgoing,52
incoming,54
incoming,54
incoming,54
incoming,54
outgoing,47
incoming,57
outgoing,56
incoming,56
incoming,50
outgoing,45
incoming,50
outgoing,45
outgoing,53
outgoing,52
outgoing,53
incoming,50
outgoing,45
outgoing,53
incoming,50
outgoing,45
outgoing,52
incoming,50
outgoing,45
incoming,50
outgoing,45
incoming,50
outgoing,45
outgoing,53
outgoing,52
outgoing,53
incoming,50
outgoing,45
outgoing,53
incoming,50
outgoing,45
outgoing,53
incoming,50
outgoing,45
incoming,50
outgoing,45
outgoing,53
incoming,50
outgoing,45
outgoing,53
incoming,50
outgoing,45
outgoing,52
incoming,50
outgoing,45
incoming,54
incoming,50
outgoing,45
outgoing,57
outgoing,45
incoming,54
incoming,50
outgoing,45
outgoing,57
outgoing,45
incoming,60
outgoing,57
outgoing,45
incoming,60
outgoing,57
outgoing,45
outgoing,57
outgoing,57
outgoing,57
incoming,49
incoming,45
outgoing,53
outgoing,57
outgoing,52
outgoing,57
outgoing,53
outgoing,53
outgoing,52
outgoing,57
incoming,54
outgoing,53
incoming,50
outgoing,45
outgoing,57
outgoing,45
incoming,54
incoming,54
incoming,54
outgoing,57
outgoing,53
outgoing,53
incoming,54
incoming,50
incoming,50
incoming,50
incoming,50
outgoing,45
outgoing,45
outgoing,45
outgoing,45
outgoing,57
outgoing,57
outgoing,57
outgoing,57
outgoing,45
outgoing,45
outgoing,45
outgoing,45
incoming,54
incoming,54
outgoing,52
outgoing,57
outgoing,52
incoming,54
incoming,54
incoming,54
incoming,50
incoming,50
incoming,50
incoming,50
outgoing,45
outgoing,45
outgoing,45
outgoing,57
outgoing,57
outgoing,45
outgoing,57
outgoing,45
outgoing,45
outgoing,45
outgoing,45
outgoing,45
incoming,54
incoming,54
incoming,54
incoming,54
incoming,54
outgoing,45
incoming,54
incoming,54
outgoing,45
outgoing,49
outgoing,45
outgoing,53
outgoing,49
outgoing,53
incoming,54
incoming,54
outgoing,45
outgoing,49
outgoing,45
outgoing,53
outgoing,52
outgoing,49
outgoing,52
outgoing,53
incoming,54
outgoing,53
outgoing,49
outgoing,53
incoming,54
outgoing,45
outgoing,49
outgoing,45
incoming,54
incoming,54
incoming,54
incoming,54
incoming,54
incoming,54
incoming,54
incoming,54
incoming,54
incoming,54
incoming,54
outgoing,53
outgoing,49
incoming,54
incoming,54
incoming,54
incoming,54
outgoing,45
outgoing,45
outgoing,45
outgoing,45
outgoing,45
outgoing,45
incoming,54
incoming,54
outgoing,52
outgoing,53
incoming,54
outgoing,45
outgoing,45
outgoing,45
outgoing,45
outgoing,45
outgoing,45
outgoing,45
outgoing,45
outgoing,45
outgoing,45
outgoing,45
outgoing,45
outgoing,45
outgoing,45
outgoing,45
outgoing,45
incoming,54
incoming,54
incoming,54
incoming,54
incoming,54
incoming,54
incoming,54
incoming,54
incoming,54
incoming,54
outgoing,45
outgoing,45
outgoing,45
outgoing,45
outgoing,45
outgoing,49
outgoing,45
outgoing,45
outgoing,45
outgoing,45
outgoing,45
outgoing,45
outgoing,45
outgoing,45
incoming,61
outgoing,45
outgoing,45
outgoing,45
incoming,54
incoming,54
incoming,54
incoming,54
outgoing,45
outgoing,45
outgoing,49
outgoing,45
incoming,61
incoming,54
outgoing,45
outgoing,45
outgoing,49
outgoing,45
outgoing,45
incoming,54
incoming,54
outgoing,45
outgoing,49
outgoing,45
incoming,54
incoming,54
outgoing,45
outgoing,49
outgoing,45
outgoing,53
outgoing,52
outgoing,49
outgoing,52
outgoing,53
outgoing,53
incoming,54
outgoing,49
incoming,54
outgoing,53
incoming,54
outgoing,45
outgoing,49
outgoing,45
incoming,54
incoming,54
incoming,54
incoming,54
outgoing,53
outgoing,49
outgoing,53
incoming,54
incoming,54
incoming,54
incoming,54
incoming,54
outgoing,45
outgoing,45
outgoing,45
outgoing,45
outgoing,49
outgoing,45
outgoing,45
outgoing,45
outgoing,45
incoming,54
incoming,54
outgoing,52
outgoing,49
outgoing,52
incoming,54
incoming,54
incoming,54
incoming,54
incoming,54
incoming,54
incoming,54
outgoing,45
outgoing,45
outgoing,45
outgoing,45
outgoing,49
outgoing,45
outgoing,45
outgoing,45
outgoing,45
incoming,54
incoming,54
incoming,54
incoming,54
outgoing,45
outgoing,45
outgoing,49
outgoing,45
outgoing,45
incoming,54
incoming,54
incoming,61
incoming,54
incoming,61
outgoing,45
outgoing,45
outgoing,49
outgoing,45
outgoing,45
outgoing,53
outgoing,49
outgoing,53
incoming,54
incoming,54
outgoing,45
outgoing,49
outgoing,45
outgoing,53
outgoing,52
outgoing,49
outgoing,52
outgoing,53
incoming,54
outgoing,53
outgoing,53
incoming,54
outgoing,45
outgoing,49
outgoing,45
incoming,54
incoming,54
incoming,54
incoming,54
incoming,54
incoming,54
incoming,54
incoming,54
outgoing,53
outgoing,49
outgoing,49
outgoing,53
incoming,54
incoming,54
incoming,54
incoming,54
incoming,54
incoming,54
incoming,54
incoming,54
outgoing,45
outgoing,45
outgoing,49
outgoing,45
outgoing,45
outgoing,45
outgoing,45
incoming,54
incoming,54
incoming,54
outgoing,53
outgoing,53
outgoing,53
outgoing,49
outgoing,53
incoming,54
incoming,54
incoming,54
incoming,54
incoming,54
incoming,54
incoming,54
outgoing,45
outgoing,45
outgoing,45
outgoing,49
outgoing,45
outgoing,45
outgoing,45
incoming,54
incoming,54
outgoing,53
outgoing,49
incoming,54
incoming,54
incoming,54
incoming,54
incoming,54
outgoing,49
outgoing,45
outgoing,45
outgoing,45
outgoing,45
outgoing,49
outgoing,45
incoming,54
incoming,54
incoming,54
outgoing,49
outgoing,53
outgoing,53
outgoing,49
incoming,54
incoming,54
outgoing,45
outgoing,45
outgoing,49
outgoing,45
outgoing,45
incoming,54
incoming,54
incoming,54
incoming,54
outgoing,45
incoming,54
incoming,54
outgoing,53
incoming,54
incoming,54
outgoing,49
incoming,54
incoming,54
outgoing,45
outgoing,49
outgoing,45
outgoing,45
incoming,54
incoming,54
incoming,54
incoming,54
outgoing,45
incoming,54
incoming,54
incoming,54
incoming,54
outgoing,53
incoming,54
incoming,54
incoming,54
incoming,54
outgoing,49
outgoing,45
outgoing,45
incoming,54
incoming,54
incoming,54
outgoing,53
outgoing,53
outgoing,49
outgoing,53
incoming,54
incoming,54
incoming,54
outgoing,45
outgoing,45
outgoing,45
outgoing,49
outgoing,45
incoming,54
outgoing,45
incoming,54
incoming,54
incoming,54
incoming,54
incoming,54
incoming,54
outgoing,49
outgoing,53
incoming,54
incoming,54
incoming,54
incoming,54
outgoing,45
outgoing,45
outgoing,45
outgoing,45
outgoing,45
incoming,54
incoming,54
outgoing,53
outgoing,53
incoming,54
incoming,54
incoming,54
incoming,54
outgoing,45
outgoing,45
outgoing,45
outgoing,45
outgoing,45
incoming,54
outgoing,53
outgoing,49
outgoing,53
incoming,54
outgoing,45
incoming,54
outgoing,53
incoming,54
incoming,54
incoming,54
outgoing,45
outgoing,45
outgoing,49
outgoing,45
incoming,54
incoming,54
incoming,54
incoming,54
outgoing,53
outgoing,53
incoming,54
incoming,54
incoming,54
incoming,54
incoming,54
incoming,54
incoming,54
incoming,54
incoming,54
outgoing,45
outgoing,45
outgoing,45
outgoing,45
incoming,54
incoming,54
incoming,54
outgoing,45
outgoing,45
outgoing,45
outgoing,45
outgoing,45
outgoing,45
outgoing,49
outgoing,45
outgoing,45
outgoing,45
outgoing,45
outgoing,45
outgoing,45
outgoing,45
outgoing,45
incoming,54
outgoing,45
outgoing,49
incoming,54
incoming,54
incoming,54
incoming,54
incoming,54
incoming,54
incoming,54
incoming,54
outgoing,52
outgoing,49
outgoing,52
incoming,54
incoming,54
incoming,54
incoming,54
outgoing,45
outgoing,45
outgoing,45
outgoing,45
outgoing,49
outgoing,45
outgoing,45
outgoing,45
outgoing,45
incoming,54
incoming,54
incoming,54
incoming,54
incoming,54
outgoing,45
outgoing,45
incoming,54
outgoing,49
outgoing,45
outgoing,45
outgoing,45
outgoing,45
outgoing,45
outgoing,45
outgoing,49
incoming,54
outgoing,45
outgoing,45
outgoing,45
outgoing,45
outgoing,45
outgoing,45
outgoing,45
outgoing,45
outgoing,45
outgoing,49
outgoing,45
outgoing,45
outgoing,49
incoming,54
incoming,54
incoming,54
incoming,54
outgoing,45
incoming,54
incoming,54
outgoing,45
outgoing,49
outgoing,45
incoming,54
incoming,61
incoming,54
incoming,61
outgoing,45
outgoing,45
outgoing,49
outgoing,45
outgoing,45
incoming,54
incoming,54
outgoing,45
outgoing,49
outgoing,45
incoming,54
incoming,54
outgoing,45
outgoing,49
outgoing,45
incoming,54
incoming,54
outgoing,45
outgoing,49
outgoing,45
outgoing,53
outgoing,52
outgoing,49
outgoing,52
outgoing,53
outgoing,53
incoming,54
outgoing,49
incoming,54
incoming,54
outgoing,49
incoming,54
outgoing,49
outgoing,53
outgoing,53
incoming,54
outgoing,49
outgoing,53
incoming,54
outgoing,45
outgoing,49
outgoing,45
incoming,54
incoming,54
incoming,54
outgoing,53
outgoing,49
outgoing,53
incoming,54
incoming,54
incoming,54
incoming,54
incoming,54
incoming,54
incoming,54
incoming,54
incoming,54
outgoing,45
outgoing,45
outgoing,45
outgoing,45
outgoing,45
outgoing,45
outgoing,45
outgoing,49
outgoing,45
outgoing,45
outgoing,45
outgoing,45
outgoing,49
outgoing,45
outgoing,45
incoming,54
incoming,54
outgoing,52
incoming,54
incoming,54
outgoing,45
outgoing,49
outgoing,45
outgoing,45
outgoing,45
incoming,61
incoming,61
outgoing,45
incoming,61
incoming,54
incoming,61
incoming,54
outgoing,45
outgoing,45
outgoing,49
outgoing,45
outgoing,45
incoming,54
incoming,54
outgoing,45
outgoing,49
outgoing,45
incoming,54
incoming,54
outgoing,45
outgoing,49
outgoing,45
outgoing,53
outgoing,52
outgoing,49
outgoing,52
outgoing,53
incoming,54
outgoing,53
outgoing,49
outgoing,53
incoming,54
outgoing,45
outgoing,49
outgoing,45
incoming,54
incoming,54
incoming,54
outgoing,53
outgoing,49
outgoing,53
incoming,54
incoming,54
incoming,54
incoming,54
incoming,54
incoming,54
incoming,54
incoming,54
incoming,54
outgoing,45
outgoing,45
outgoing,45
outgoing,45
outgoing,49
outgoing,45
outgoing,45
outgoing,45
outgoing,45
incoming,54
incoming,54
outgoing,53
outgoing,49
outgoing,53
outgoing,52
outgoing,49
outgoing,52
incoming,54
incoming,54
incoming,54
incoming,54
outgoing,45
outgoing,45
outgoing,45
outgoing,49
outgoing,45
outgoing,45
outgoing,45
incoming,54
incoming,54
incoming,54
incoming,54
outgoing,45
outgoing,45
outgoing,49
outgoing,45
outgoing,45
incoming,54
incoming,54
incoming,54
incoming,54
outgoing,45
outgoing,45
outgoing,49
outgoing,45
outgoing,45
incoming,54
incoming,61
incoming,61
incoming,54
incoming,61
outgoing,45
outgoing,45
outgoing,49
outgoing,45
outgoing,45
outgoing,53
outgoing,52
outgoing,49
outgoing,52
outgoing,53
incoming,54
outgoing,53
outgoing,49
outgoing,53
outgoing,53
incoming,54
outgoing,45
outgoing,49
outgoing,45
incoming,54
incoming,54
incoming,54
incoming,54
incoming,54
incoming,54
incoming,54
outgoing,53
outgoing,49
outgoing,53
incoming,54
incoming,54
incoming,54
incoming,54
incoming,54
outgoing,45
outgoing,45
outgoing,45
outgoing,45
outgoing,49
outgoing,45
outgoing,45
outgoing,45
outgoing,45
incoming,54
incoming,54
incoming,54
outgoing,53
outgoing,49
outgoing,49
outgoing,53
incoming,54
incoming,54
incoming,54
outgoing,45
outgoing,45
outgoing,45
incoming,54
incoming,54
incoming,54
incoming,54
outgoing,49
outgoing,45
outgoing,45
outgoing,45
incoming,54
incoming,54
incoming,54
outgoing,53
outgoing,49
outgoing,53
incoming,54
incoming,54
outgoing,45
outgoing,53
outgoing,45
incoming,54
outgoing,49
outgoing,53
outgoing,45
outgoing,45
incoming,54
incoming,54
incoming,54
outgoing,45
outgoing,45
outgoing,49
outgoing,45
outgoing,45
incoming,54
incoming,54
incoming,54
outgoing,53
outgoing,49
outgoing,53
incoming,54
incoming,54
incoming,54
incoming,54
incoming,54
incoming,54
outgoing,45
outgoing,45
outgoing,45
outgoing,45
outgoing,49
outgoing,45
outgoing,45
outgoing,45
outgoing,45
incoming,54
outgoing,52
outgoing,49
outgoing,52
incoming,54
outgoing,53
outgoing,49
outgoing,53
incoming,54
incoming,54
outgoing,45
outgoing,45
outgoing,49
outgoing,45
outgoing,45
incoming,54
incoming,54
incoming,54
incoming,54
incoming,54
incoming,54
incoming,54
incoming,54
incoming,54
incoming,54
incoming,54
incoming,54
outgoing,45
outgoing,45
outgoing,45
outgoing,45
outgoing,45
outgoing,45
outgoing,45
incoming,61
incoming,61
incoming,61
incoming,61
outgoing,49
outgoing,45
outgoing,45
outgoing,45
outgoing,45
outgoing,45
outgoing,45
incoming,61
outgoing,45
outgoing,45
outgoing,45
incoming,61
outgoing,45
incoming,54
outgoing,49
outgoing,45
incoming,61
incoming,61
incoming,54
outgoing,45
outgoing,45
outgoing,45
outgoing,49
outgoing,45
outgoing,45
outgoing,45
incoming,54
incoming,54
outgoing,45
outgoing,49
outgoing,45
incoming,54
incoming,54
outgoing,45
outgoing,49
outgoing,45
outgoing,53
outgoing,49
outgoing,53
outgoing,53
outgoing,53
outgoing,53
incoming,54
incoming,54
outgoing,45
outgoing,49
outgoing,45
outgoing,53
outgoing,52
outgoing,49
outgoing,52
outgoing,53
incoming,54
outgoing,49
outgoing,53
incoming,54
outgoing,45
outgoing,49
outgoing,45
incoming,54
incoming,54
incoming,54
outgoing,53
outgoing,49
outgoing,53
incoming,54
incoming,54
incoming,54
incoming,54
incoming,54
outgoing,45
outgoing,45
outgoing,45
outgoing,45
outgoing,49
outgoing,45
outgoing,45
outgoing,45
outgoing,45
incoming,54
incoming,54
outgoing,52
outgoing,49
outgoing,52
incoming,54
incoming,54
incoming,54
incoming,54
incoming,54
incoming,54
incoming,54
outgoing,45
outgoing,45
outgoing,45
outgoing,45
outgoing,49
outgoing,49
outgoing,45
outgoing,45
outgoing,45
outgoing,45
incoming,54
incoming,54
incoming,54
incoming,54
outgoing,45
outgoing,45
incoming,61
incoming,61
incoming,61
incoming,61
outgoing,49
outgoing,45
outgoing,45
incoming,61
incoming,54
incoming,61
incoming,54
outgoing,45
outgoing,45
outgoing,49
outgoing,45
outgoing,45
incoming,54
incoming,54
outgoing,53
outgoing,45
outgoing,49
outgoing,45
outgoing,53
outgoing,53
outgoing,49
outgoing,53
incoming,54
incoming,54
outgoing,45
outgoing,49
outgoing,45
outgoing,53
outgoing,52
outgoing,49
outgoing,52
outgoing,53
outgoing,49
incoming,54
incoming,54
incoming,54
outgoing,52
outgoing,52
incoming,54
outgoing,53
outgoing,49
outgoing,53
incoming,54
outgoing,45
outgoing,49
outgoing,45
incoming,54
incoming,54
incoming,54
incoming,54
incoming,54
outgoing,53
outgoing,49
outgoing,53
incoming,54
incoming,54
incoming,54
incoming,54
incoming,54
outgoing,45
outgoing,45
outgoing,45
outgoing,45
outgoing,49
outgoing,45
outgoing,45
outgoing,45
outgoing,45
incoming,54
incoming,54
outgoing,52
outgoing,49
outgoing,52
incoming,54
incoming,54
incoming,54
incoming,54
outgoing,49
outgoing,45
outgoing,45
incoming,54
outgoing,45
incoming,54
incoming,54
incoming,54
incoming,61
incoming,54
incoming,61
incoming,54
outgoing,49
outgoing,45
outgoing,45
incoming,54
incoming,54
outgoing,45
outgoing,49
outgoing,45
outgoing,53
outgoing,52
outgoing,49
outgoing,52
outgoing,52
outgoing,53
incoming,54
outgoing,53
outgoing,49
outgoing,53
outgoing,53
incoming,54
outgoing,45
outgoing,49
outgoing,45
incoming,54
incoming,54
incoming,54
incoming,54
outgoing,53
outgoing,49
outgoing,53
incoming,54
incoming,54
incoming,54
incoming,54
incoming,54
incoming,54
incoming,54
incoming,54
incoming,54
outgoing,45
outgoing,45
outgoing,45
outgoing,49
outgoing,45
outgoing,45
outgoing,45
outgoing,45
incoming,54
incoming,54
outgoing,52
outgoing,49
outgoing,52
incoming,54
incoming,54
incoming,54
incoming,54
incoming,54
incoming,54
outgoing,45
outgoing,45
outgoing,45
outgoing,45
outgoing,49
outgoing,45
outgoing,45
outgoing,45
outgoing,45
outgoing,45
incoming,54
incoming,54
incoming,54
incoming,54
outgoing,45
outgoing,45
outgoing,49
outgoing,45
outgoing,45
incoming,54
incoming,54
outgoing,45
outgoing,49
incoming,61
incoming,61
incoming,61
incoming,61
outgoing,45
outgoing,45
incoming,61
incoming,61
outgoing,45
outgoing,49
outgoing,45
outgoing,53
outgoing,49
outgoing,53
incoming,54
incoming,54
outgoing,45
outgoing,49
outgoing,45
outgoing,53
outgoing,52
outgoing,49
outgoing,52
outgoing,53
incoming,54
outgoing,53
outgoing,53
outgoing,49
outgoing,53
incoming,54
outgoing,45
outgoing,49
outgoing,45
incoming,54
incoming,54
incoming,54
incoming,54
incoming,54
incoming,54
incoming,54
outgoing,53
outgoing,49
outgoing,53
incoming,54
incoming,54
incoming,54
incoming,54
incoming,54
incoming,54
incoming,54
incoming,54
incoming,54
outgoing,45
outgoing,45
outgoing,45
outgoing,45
outgoing,49
outgoing,45
outgoing,45
outgoing,45
outgoing,45
incoming,54
incoming,54
incoming,54
outgoing,53
outgoing,49
outgoing,53
incoming,54
incoming,54
incoming,54
outgoing,45
incoming,54
outgoing,45
outgoing,45
outgoing,45
outgoing,45
outgoing,45
outgoing,49
outgoing,45
outgoing,45
outgoing,45
outgoing,45
outgoing,45
outgoing,49
outgoing,45
outgoing,53
outgoing,49
outgoing,53
incoming,54
incoming,54
incoming,54
outgoing,45
outgoing,45
outgoing,49
outgoing,45
outgoing,45
incoming,54
outgoing,53
outgoing,49
outgoing,53
incoming,54
incoming,54
incoming,54
outgoing,45
outgoing,45
outgoing,49
outgoing,45
outgoing,45
incoming,54
incoming,54
incoming,54
outgoing,53
outgoing,49
outgoing,53
incoming,54
incoming,54
incoming,54
incoming,54
incoming,54
incoming,54
incoming,54
incoming,54
incoming,54
incoming,54
incoming,54
incoming,54
incoming,54
incoming,54
outgoing,45
outgoing,45
outgoing,45
outgoing,45
outgoing,45
outgoing,45
outgoing,45
outgoing,49
outgoing,45
outgoing,45
outgoing,45
outgoing,45
outgoing,45
outgoing,45
outgoing,45
outgoing,45
outgoing,45
outgoing,45
outgoing,45
outgoing,45
outgoing,45
outgoing,45
outgoing,45
outgoing,45
outgoing,45
outgoing,45
incoming,54
incoming,54
outgoing,45
incoming,54
outgoing,45
outgoing,45
outgoing,49
outgoing,49
outgoing,45
outgoing,45
incoming,54
outgoing,53
outgoing,49
outgoing,53
incoming,54
outgoing,53
outgoing,49
incoming,54
outgoing,53
incoming,54
incoming,54
outgoing,45
outgoing,45
outgoing,45
outgoing,49
outgoing,45
outgoing,45
outgoing,45
incoming,54
incoming,54
incoming,54
outgoing,53
outgoing,49
incoming,54
incoming,54
incoming,54
incoming,54
incoming,54
outgoing,45
outgoing,45
outgoing,45
outgoing,45
outgoing,49
outgoing,45
outgoing,45
outgoing,45
outgoing,45
incoming,54
incoming,54
outgoing,52
outgoing,49
outgoing,52
outgoing,53
outgoing,49
outgoing,53
incoming,54
incoming,54
incoming,54
incoming,54
outgoing,45
outgoing,45
outgoing,45
outgoing,49
outgoing,45
outgoing,45
outgoing,45
incoming,54
incoming,54
incoming,54
incoming,54
incoming,54
incoming,54
incoming,54
incoming,54
incoming,54
outgoing,45
outgoing,45
outgoing,45
outgoing,45
outgoing,49
outgoing,45
outgoing,45
outgoing,45
outgoing,45
incoming,61
incoming,54
incoming,61
incoming,54
outgoing,45
outgoing,45
outgoing,45
outgoing,45
